active_enterprises,enterprise_births,persons_engaged_in_active_enterprises,employees_in_active_enterprises,persons_engaged_in_birthed_enterprises,employees_in_birthed_enterprises
5.0,0.0,3181.0,3181.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
38.0,0.0,24478.0,24478.0,0.0,0.0
4.0,0.0,1469.0,1469.0,0.0,0.0
115.0,0.0,113064.0,113064.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
405.0,7.0,44020.0,43990.0,703.0,0.0
697.0,10.0,68683.0,68638.0,969.0,0.0
32.0,,3139.0,3123.0,,0.0
68.0,0.0,7241.0,7239.0,0.0,0.0
15.0,0.0,1838.0,1838.0,0.0,0.0
89.0,,10562.0,10562.0,,0.0
11.0,0.0,1421.0,1421.0,0.0,0.0
76.0,,7538.0,7538.0,,0.0
323.0,6.0,33847.0,33842.0,621.0,0.0
,,1801.0,1801.0,,0.0
30.0,,3013.0,3013.0,,0.0
,0.0,,,0.0,0.0
71.0,0.0,7011.0,7011.0,0.0,0.0
79.0,0.0,7894.0,7894.0,0.0,0.0
101.0,,9746.0,9744.0,,0.0
75.0,0.0,7723.0,7723.0,0.0,0.0
4426.0,,433321.0,433000.0,4974.0,0.0
,,2371.0,2371.0,,0.0
,0.0,,,0.0,0.0
44.0,,3937.0,3936.0,,0.0
,0.0,,,0.0,0.0
,0.0,810.0,810.0,0.0,0.0
73.0,,7656.0,7656.0,,0.0
,0.0,648.0,648.0,0.0,0.0
67.0,0.0,5967.0,5967.0,0.0,0.0
170.0,,17119.0,17119.0,,0.0
170.0,,17119.0,17119.0,,0.0
208.0,3.0,17735.0,17731.0,247.0,0.0
,0.0,1119.0,1119.0,0.0,0.0
104.0,0.0,9562.0,9558.0,0.0,0.0
104.0,0.0,9562.0,9558.0,0.0,0.0
4.0,0.0,328.0,328.0,0.0,0.0
97.0,,11272.0,11272.0,,0.0
82.0,,8332.0,8332.0,,0.0
168.0,,17553.0,17551.0,,0.0
148.0,0.0,16507.0,16507.0,0.0,0.0
292.0,,24663.0,24648.0,266.0,0.0
41.0,0.0,4598.0,4598.0,0.0,0.0
,,1171.0,1171.0,,0.0
63.0,0.0,6537.0,6525.0,0.0,0.0
548.0,4.0,54528.0,54492.0,,0.0
7.0,0.0,1112.0,1112.0,0.0,0.0
260.0,,26257.0,26257.0,,0.0
267.0,,27369.0,27369.0,,0.0
,0.0,692.0,692.0,0.0,0.0
279.0,,26876.0,26876.0,1221.0,0.0
18.0,,1980.0,1980.0,,0.0
,0.0,,,0.0,0.0
91.0,,8784.0,8783.0,,0.0
3.0,0.0,193.0,193.0,0.0,0.0
4.0,0.0,442.0,442.0,0.0,0.0
,0.0,,,0.0,0.0
23.0,,2446.0,2277.0,,0.0
55.0,,5585.0,5400.0,,0.0
14.0,0.0,1541.0,1541.0,0.0,0.0
65.0,,6117.0,6117.0,,0.0
25.0,0.0,3332.0,3330.0,0.0,0.0
27.0,0.0,2859.0,2859.0,0.0,0.0
15.0,0.0,1997.0,1997.0,0.0,0.0
14.0,0.0,1425.0,1425.0,0.0,0.0
46.0,0.0,4395.0,4395.0,0.0,0.0
37.0,0.0,4088.0,4088.0,0.0,0.0
47.0,0.0,5043.0,5043.0,0.0,0.0
578.0,0.0,62214.0,62212.0,0.0,0.0
,0.0,1212.0,1212.0,0.0,0.0
8.0,0.0,621.0,621.0,0.0,0.0
16.0,0.0,1636.0,1636.0,0.0,0.0
62.0,,6605.0,6605.0,,0.0
,0.0,760.0,760.0,0.0,0.0
3.0,0.0,278.0,278.0,0.0,0.0
,0.0,2848.0,2848.0,0.0,0.0
25.0,0.0,2232.0,2231.0,0.0,0.0
28.0,0.0,2461.0,2461.0,0.0,0.0
17.0,0.0,1514.0,1514.0,0.0,0.0
,,682.0,682.0,,0.0
35.0,0.0,3201.0,3201.0,0.0,0.0
,0.0,,,0.0,0.0
27.0,12.0,2216.0,2216.0,,0.0
,0.0,,,0.0,0.0
,,3079.0,3078.0,,0.0
295.0,5.0,29144.0,28956.0,408.0,0.0
,0.0,548.0,548.0,0.0,0.0
42.0,0.0,4101.0,4101.0,0.0,0.0
52.0,,4910.0,4893.0,,0.0
52.0,,4910.0,4893.0,,0.0
26.0,,,,,0.0
40.0,0.0,4070.0,4070.0,0.0,0.0
,0.0,765.0,765.0,0.0,0.0
,0.0,2637.0,2637.0,0.0,0.0
3.0,0.0,226.0,226.0,0.0,0.0
,,2296.0,2283.0,,0.0
18.0,0.0,2064.0,2064.0,0.0,0.0
3.0,0.0,422.0,422.0,0.0,0.0
,0.0,,,0.0,0.0
,0.0,,,0.0,0.0
258.0,4.0,23760.0,23742.0,,0.0
193.0,,16308.0,16304.0,,0.0
25.0,0.0,1987.0,1985.0,0.0,0.0
18.0,0.0,1811.0,1811.0,0.0,0.0
,0.0,,,0.0,0.0
10.0,0.0,,,0.0,0.0
123.0,,11766.0,11765.0,,0.0
35.0,0.0,3411.0,3411.0,0.0,0.0
,0.0,,,0.0,0.0
9.0,0.0,797.0,797.0,0.0,0.0
436.0,,38774.0,38767.0,,0.0
23.0,0.0,2349.0,2349.0,0.0,0.0
18.0,,,,,0.0
47.0,,4875.0,4871.0,,0.0
3591.0,49.0,348895.0,348582.0,,0.0
,,4940.0,4939.0,,0.0
227.0,0.0,24231.0,24225.0,0.0,0.0
,0.0,,375.0,0.0,0.0
62.0,0.0,5915.0,5913.0,0.0,0.0
8.0,0.0,883.0,883.0,0.0,0.0
24.0,0.0,2200.0,2200.0,0.0,0.0
5.0,0.0,432.0,432.0,0.0,0.0
11.0,0.0,,,0.0,0.0
4.0,0.0,373.0,,0.0,0.0
,0.0,1429.0,1429.0,0.0,0.0
162.0,,15671.0,15670.0,,0.0
16.0,0.0,1403.0,1403.0,0.0,0.0
,,2085.0,2085.0,,0.0
4.0,0.0,304.0,301.0,0.0,0.0
4.0,0.0,304.0,301.0,0.0,0.0
54.0,0.0,5143.0,5143.0,0.0,0.0
37.0,,3528.0,3526.0,,0.0
,0.0,,,0.0,0.0
316.0,0.0,29942.0,29938.0,0.0,0.0
82.0,0.0,7005.0,7004.0,0.0,0.0
834.0,,75721.0,75709.0,,0.0
24.0,0.0,2391.0,2391.0,0.0,0.0
3842.0,242.0,71541.0,69030.0,1562.0,0.0
19418.0,1937.0,222716.0,211598.0,10317.0,0.0
6943.0,441.0,30560.0,25563.0,887.0,0.0
3242.0,200.0,38825.0,37874.0,333.0,0.0
85.0,,9190.0,9181.0,,0.0
1325.0,149.0,53822.0,53610.0,716.0,0.0
484.0,30.0,4879.0,4871.0,21.0,0.0
11593.0,1450.0,43201.0,39865.0,1917.0,0.0
18097.0,1528.0,167374.0,158440.0,2840.0,0.0
1602.0,184.0,6577.0,5928.0,272.0,0.0
1840.0,201.0,10406.0,9674.0,291.0,0.0
91.0,10.0,10809.0,10800.0,8.0,0.0
8838.0,740.0,32069.0,29061.0,866.0,0.0
9240.0,766.0,36428.0,33289.0,895.0,0.0
12273.0,924.0,47618.0,38722.0,1425.0,0.0
3473.0,212.0,21317.0,19446.0,312.0,0.0
342214.0,26910.0,2269627.0,2072409.0,53980.0,0.0
1124.0,176.0,7405.0,6882.0,,0.0
416.0,53.0,505.0,438.0,41.0,0.0
2357.0,203.0,32114.0,30269.0,488.0,0.0
22.0,,347.0,343.0,,0.0
294.0,29.0,2749.0,2658.0,41.0,0.0
4912.0,536.0,28950.0,28060.0,938.0,0.0
64.0,7.0,1303.0,1297.0,6.0,0.0
3248.0,387.0,25034.0,24231.0,419.0,0.0
10443.0,1186.0,68413.0,66160.0,1719.0,0.0
10443.0,1186.0,68413.0,66160.0,1719.0,0.0
59175.0,5151.0,158227.0,118924.0,7954.0,0.0
7006.0,509.0,10316.0,4039.0,,0.0
14973.0,896.0,186389.0,177662.0,1399.0,0.0
14973.0,896.0,186389.0,177662.0,1399.0,0.0
663.0,57.0,9562.0,9522.0,36.0,0.0
1659.0,176.0,62047.0,61731.0,749.0,0.0
9716.0,914.0,58704.0,57438.0,1154.0,0.0
13441.0,,115532.0,113222.0,1640.0,0.0
1966.0,143.0,55731.0,54892.0,232.0,0.0
15576.0,1695.0,151175.0,142568.0,8755.0,0.0
2248.0,172.0,40094.0,38905.0,217.0,0.0
416.0,17.0,8313.0,8103.0,,0.0
14939.0,996.0,96329.0,83268.0,2024.0,0.0
21068.0,1287.0,241308.0,225846.0,4004.0,0.0
241.0,27.0,16175.0,16120.0,,0.0
13353.0,1440.0,113122.0,110211.0,,0.0
13594.0,1467.0,129297.0,126331.0,2116.0,0.0
638.0,87.0,9434.0,9231.0,99.0,0.0
16418.0,1772.0,118709.0,114175.0,4606.0,0.0
483.0,32.0,18003.0,17910.0,153.0,0.0
113.0,10.0,291.0,226.0,10.0,0.0
19913.0,886.0,59037.0,41829.0,1202.0,0.0
