active_enterprise,persons_engaged,employees
9.0,23.0,20.0
,,
11.0,67.0,64.0
4.0,4.0,
6.0,24.0,
0.0,0.0,0.0
,,
0.0,0.0,0.0
0.0,0.0,0.0
3.0,3.0,0.0
5.0,4.0,
8.0,6.0,5.0
4.0,3.0,0.0
13.0,,68.0
294.0,2749.0,2658.0
,,
24.0,34.0,28.0
19.0,45.0,42.0
74.0,193.0,180.0
401.0,1472.0,1396.0
49.0,,
2636.0,21622.0,21275.0
168.0,542.0,499.0
57.0,329.0,313.0
219.0,372.0,337.0
33.0,127.0,
31.0,39.0,
24.0,,
126.0,1906.0,1887.0
12.0,,26.0
67.0,121.0,103.0
52.0,66.0,49.0
154.0,,
12.0,7.0,4.0
28.0,,
25.0,28.0,24.0
26.0,61.0,50.0
60.0,,
76.0,529.0,507.0
53.0,,
70.0,,
171.0,275.0,236.0
4912.0,28950.0,28060.0
,,
,,
0.0,0.0,0.0
0.0,0.0,0.0
5.0,,
,,
39.0,1218.0,1217.0
,,
0.0,0.0,0.0
0.0,0.0,0.0
,,
,,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
,,
0.0,0.0,0.0
,,
0.0,0.0,0.0
0.0,0.0,0.0
,,
,0.0,0.0
,,
,,
,,
64.0,1303.0,1297.0
,,
,,
18.0,27.0,20.0
43.0,66.0,57.0
295.0,2000.0,1934.0
46.0,,
1551.0,17418.0,17163.0
142.0,456.0,420.0
55.0,106.0,78.0
103.0,223.0,193.0
,,
,,
17.0,,
98.0,697.0,664.0
8.0,,16.0
56.0,165.0,153.0
29.0,29.0,21.0
79.0,182.0,156.0
11.0,36.0,32.0
,,15.0
18.0,,
26.0,39.0,30.0
,,100.0
61.0,249.0,230.0
28.0,47.0,38.0
55.0,225.0,208.0
113.0,354.0,322.0
3248.0,25034.0,24231.0
,,
54.0,255.0,240.0
56.0,100.0,85.0
149.0,409.0,377.0
870.0,4850.0,4660.0
132.0,,
5249.0,49095.0,48319.0
407.0,1218.0,1100.0
159.0,510.0,447.0
411.0,1062.0,973.0
62.0,170.0,
64.0,118.0,
50.0,,
285.0,2712.0,2641.0
32.0,,53.0
173.0,603.0,559.0
105.0,158.0,126.0
301.0,663.0,592.0
31.0,53.0,41.0
63.0,,59.0
53.0,241.0,226.0
69.0,215.0,187.0
129.0,320.0,280.0
180.0,881.0,826.0
102.0,249.0,
165.0,431.0,372.0
337.0,784.0,699.0
10443.0,68413.0,66160.0
,,
54.0,255.0,240.0
56.0,100.0,85.0
149.0,409.0,377.0
870.0,4850.0,4660.0
132.0,,
5249.0,49095.0,48319.0
407.0,1218.0,1100.0
159.0,510.0,447.0
411.0,1062.0,973.0
62.0,170.0,
64.0,118.0,
50.0,,
285.0,2712.0,2641.0
32.0,,53.0
173.0,603.0,559.0
105.0,158.0,126.0
301.0,663.0,592.0
31.0,53.0,41.0
63.0,,59.0
53.0,241.0,226.0
69.0,215.0,187.0
129.0,320.0,280.0
180.0,881.0,826.0
102.0,249.0,
165.0,431.0,372.0
337.0,784.0,699.0
10443.0,68413.0,66160.0
,,
695.0,1844.0,1365.0
1165.0,3311.0,2548.0
1615.0,3226.0,2038.0
6456.0,16576.0,12326.0
2333.0,4990.0,3308.0
11765.0,40917.0,34325.0
3609.0,8490.0,5946.0
2210.0,4966.0,3392.0
2681.0,8610.0,6977.0
1179.0,3208.0,2372.0
833.0,2179.0,1584.0
502.0,1146.0,768.0
1818.0,6172.0,4994.0
556.0,1456.0,1070.0
1452.0,3538.0,2662.0
2000.0,4996.0,3536.0
2707.0,7957.0,6282.0
944.0,2538.0,1945.0
931.0,2193.0,1549.0
915.0,1855.0,1191.0
764.0,1579.0,986.0
1974.0,5054.0,3627.0
1098.0,3673.0,2898.0
1251.0,3242.0,2398.0
2301.0,6349.0,4804.0
1770.0,3912.0,2666.0
59175.0,158227.0,118924.0
,,
55.0,,
41.0,49.0,13.0
143.0,190.0,59.0
587.0,814.0,290.0
178.0,251.0,86.0
2532.0,4610.0,2422.0
407.0,575.0,208.0
198.0,268.0,
198.0,226.0,50.0
83.0,,
43.0,,
52.0,73.0,
198.0,310.0,147.0
28.0,,
121.0,,
112.0,136.0,
199.0,244.0,
43.0,,
58.0,,
46.0,,
87.0,149.0,
102.0,,
90.0,169.0,89.0
103.0,,16.0
137.0,191.0,62.0
244.0,282.0,65.0
7006.0,10316.0,4039.0
,,
164.0,,2167.0
174.0,,415.0
431.0,1033.0,794.0
1569.0,14687.0,13800.0
463.0,2940.0,2714.0
3802.0,44457.0,42252.0
906.0,8043.0,7556.0
447.0,2518.0,2270.0
579.0,5708.0,5348.0
250.0,1051.0,930.0
191.0,,
101.0,,
571.0,7318.0,7006.0
107.0,,307.0
312.0,1866.0,1688.0
413.0,2185.0,1988.0
537.0,3281.0,2930.0
143.0,1428.0,1375.0
187.0,,521.0
178.0,403.0,330.0
217.0,1370.0,1257.0
455.0,2599.0,2369.0
328.0,3712.0,
276.0,,
416.0,1427.0,1196.0
500.0,1604.0,1286.0
14973.0,186389.0,177662.0
,,
164.0,,2167.0
174.0,,415.0
431.0,1033.0,794.0
1569.0,14687.0,13800.0
463.0,2940.0,2714.0
3802.0,44457.0,42252.0
906.0,8043.0,7556.0
447.0,2518.0,2270.0
579.0,5708.0,5348.0
250.0,1051.0,930.0
191.0,,
101.0,,
571.0,7318.0,7006.0
107.0,,307.0
312.0,1866.0,1688.0
413.0,2185.0,1988.0
537.0,3281.0,2930.0
143.0,1428.0,1375.0
187.0,,521.0
178.0,403.0,330.0
217.0,1370.0,1257.0
455.0,2599.0,2369.0
328.0,3712.0,
276.0,,
416.0,1427.0,1196.0
500.0,1604.0,1286.0
14973.0,186389.0,177662.0
,,
,,
19.0,9.0,9.0
8.0,,
113.0,,
25.0,90.0,89.0
235.0,,
18.0,22.0,17.0
26.0,14.0,13.0
21.0,39.0,38.0
30.0,28.0,28.0
6.0,5.0,4.0
,0.0,0.0
23.0,17.0,15.0
,,
5.0,,
10.0,12.0,11.0
9.0,14.0,12.0
0.0,0.0,0.0
11.0,23.0,21.0
4.0,,
8.0,,
25.0,24.0,22.0
7.0,5.0,5.0
9.0,6.0,
16.0,5.0,3.0
13.0,,8.0
663.0,9562.0,9522.0
,,
,,
,,
27.0,3008.0,
181.0,5242.0,5220.0
,235.0,231.0
785.0,39853.0,39751.0
62.0,3683.0,3668.0
23.0,81.0,75.0
53.0,891.0,885.0
13.0,,63.0
,,98.0
,,
38.0,717.0,710.0
5.0,,
25.0,174.0,171.0
26.0,,
44.0,834.0,823.0
,,
,,
12.0,,
8.0,,
31.0,,
32.0,1113.0,1103.0
21.0,185.0,180.0
33.0,,
54.0,1128.0,1113.0
1659.0,62047.0,61731.0
,,
26.0,,74.0
52.0,172.0,164.0
167.0,,
640.0,,
98.0,245.0,
5411.0,49782.0,49040.0
242.0,762.0,732.0
107.0,277.0,
193.0,482.0,
58.0,618.0,614.0
29.0,,
,,
209.0,536.0,506.0
,,27.0
114.0,392.0,379.0
83.0,139.0,
158.0,337.0,326.0
43.0,135.0,129.0
40.0,213.0,206.0
34.0,46.0,
,,64.0
83.0,333.0,316.0
95.0,617.0,609.0
79.0,309.0,301.0
91.0,,372.0
126.0,257.0,224.0
9716.0,58704.0,57438.0
,,
48.0,117.0,99.0
84.0,308.0,291.0
218.0,905.0,874.0
964.0,4044.0,3847.0
159.0,457.0,413.0
7292.0,95857.0,94829.0
373.0,1565.0,1482.0
181.0,1588.0,1550.0
306.0,1416.0,1336.0
102.0,1036.0,1009.0
54.0,,
29.0,,
336.0,981.0,903.0
42.0,,64.0
199.0,685.0,644.0
140.0,414.0,373.0
242.0,835.0,785.0
61.0,184.0,172.0
72.0,316.0,294.0
59.0,,
83.0,190.0,164.0
145.0,510.0,454.0
155.0,877.0,850.0
116.0,,
160.0,828.0,783.0
183.0,435.0,379.0
13441.0,115532.0,113222.0
,,
26.0,367.0,357.0
46.0,1754.0,1745.0
49.0,307.0,284.0
275.0,6202.0,6114.0
89.0,2472.0,2236.0
331.0,10871.0,10793.0
91.0,1174.0,1134.0
102.0,3256.0,3215.0
64.0,1993.0,1975.0
40.0,2760.0,2753.0
18.0,180.0,173.0
17.0,93.0,
61.0,1428.0,1407.0
22.0,926.0,920.0
53.0,2259.0,2247.0
58.0,1270.0,1255.0
90.0,3559.0,3534.0
36.0,2142.0,2133.0
34.0,2034.0,2022.0
18.0,250.0,244.0
23.0,618.0,
79.0,3699.0,3684.0
71.0,3200.0,3181.0
31.0,240.0,229.0
62.0,1938.0,1925.0
63.0,484.0,461.0
1966.0,55731.0,54892.0
,,
203.0,1829.0,1696.0
265.0,1225.0,1044.0
432.0,3249.0,2967.0
1804.0,15764.0,14563.0
703.0,4727.0,4223.0
3600.0,61369.0,60381.0
932.0,9217.0,8694.0
697.0,4643.0,4190.0
526.0,5055.0,4790.0
342.0,2580.0,2338.0
203.0,1137.0,1006.0
183.0,919.0,784.0
685.0,5736.0,5345.0
136.0,1026.0,936.0
462.0,3754.0,3551.0
548.0,3090.0,2652.0
491.0,3849.0,3608.0
175.0,888.0,759.0
227.0,1605.0,1473.0
233.0,1053.0,876.0
214.0,2080.0,1947.0
594.0,3076.0,2669.0
434.0,3152.0,2874.0
308.0,2124.0,1948.0
505.0,3655.0,3326.0
390.0,3343.0,3127.0
15576.0,151175.0,142568.0
,,
34.0,230.0,216.0
31.0,137.0,120.0
65.0,117.0,77.0
215.0,2945.0,2836.0
66.0,716.0,673.0
410.0,9918.0,9758.0
168.0,6915.0,6835.0
59.0,216.0,177.0
88.0,293.0,
55.0,137.0,100.0
39.0,153.0,126.0
23.0,,
87.0,3158.0,3113.0
21.0,,52.0
61.0,421.0,392.0
75.0,1113.0,1066.0
107.0,991.0,931.0
70.0,336.0,301.0
43.0,764.0,740.0
31.0,380.0,
30.0,300.0,285.0
65.0,248.0,205.0
50.0,522.0,489.0
